Timestamp,Temperature, TemperatureDelta, MappedTemperature
0,32,0,0
0.01999999,32,0,0
0.03999998,32,0,0
0.05999998,32,0,0
0.07999997,32,0,0
0.09999996,32,0,0
0.12,32,0,0
0.14,32,0,0
0.1599999,32,0,0
0.1799999,32,0,0
0.1999999,32,0,0
0.2199999,32,0,0
0.2399999,32,0,0
0.2599999,32,0,0
0.2799999,32,0,0
0.2999999,32,0,0
0.3199999,32,0,0
0.3399999,32,0,0
0.3599999,32,0,0
0.3799999,32,0,0
0.3999999,32,0,0
0.4199998,32,0,0
0.4399998,32,0,0
0.4599998,32,0,0
0.4799998,32,0,0
0.4999998,32,0,0
0.5199998,32,0,0
0.5399998,32,0,0
0.5599998,32,0,0
0.5799998,32,0,0
0.5999998,32,0,0
0.6199998,32,0,0
0.6399997,32,0,0
0.6599998,32,0,0
0.6799998,32,0,0
0.6999997,32,0,0
0.7199997,32,0,0
0.7399997,32,0,0
0.7599998,32,0,0
0.7799997,32,0,0
0.7999997,32,0,0
0.8199997,32,0,0
0.8399997,32,0,0
0.8599997,32,0,0
0.8799997,32,0,0
0.8999997,32,0,0
0.9199997,32,0,0
0.9399996,32,0,0
0.9599997,32,0,0
0.9799997,32,0,0
0.9999996,32,0,0
1.02,32,0,0
1.04,32,0,0
1.06,32,0,0
1.08,32,0,0
1.1,32,0,0
1.12,32,0,0
1.14,32,0,0
1.16,32,0,0
1.18,32,0,0
1.2,32,0,0
1.22,32,0,0
1.24,32,0,0
1.26,32,0,0
1.279999,32,0,0
1.3,32,0,0
1.32,32,0,0
1.34,32,0,0
1.36,32,0,0
1.38,32,0,0
1.399999,32,0,0
1.419999,32,0,0
1.439999,32,0,0
1.459999,32,0,0
1.479999,32,0,0
1.5,32,0,0
1.52,32,0,0
1.539999,32,0,0
1.559999,32,0,0
1.579999,32,0,0
1.599999,32,0,0
1.619999,32,0,0
1.639999,32,0,0
1.659999,32,0,0
1.679999,32,0,0
1.699999,32,0,0
1.719999,32,0,0
1.739999,32,0,0
1.759999,32,0,0
1.779999,32,0,0
1.799999,32,0,0
1.819999,32,0,0
1.839999,32,0,0
1.859999,32,0,0
1.879999,32,0,0
1.899999,32,0,0
1.919999,32,0,0
1.939999,32,0,0
1.959999,32,0,0
1.979999,32,0,0
1.999999,32,0,0
2.019999,32,0,0
2.039999,32,0,0
2.059999,32,0,0
2.079999,32,0,0
2.099999,32,0,0
2.119999,32,0,0
2.139999,32,0,0
2.159999,32,0,0
2.179999,32,0,0
2.199999,32,0,0
2.219999,32,0,0
2.239999,32,0,0
2.259999,32,0,0
2.279999,32,0,0
