Timestamp,Temperature, TemperatureDelta, MappedTemperature
0,32,0,26.99896
0.01999999,31.98466,0,26.99896
0.03999998,31.96936,0,26.99896
0.05999998,31.95411,0,26.99896
0.07999997,31.9389,0,26.99896
0.09999996,31.92373,0,26.99896
0.12,31.9086,0,26.99896
0.14,31.89351,0,26.99896
0.1599999,31.87847,0,26.99896
0.1799999,31.86347,0,26.99896
0.1999999,31.84851,0,26.99896
0.2199999,31.83359,0,26.99896
0.2399999,31.81872,0,26.99896
0.2599999,31.80388,0,26.99896
0.2799999,31.78909,0,26.99896
0.2999999,31.77434,0,26.99896
0.3199999,31.75963,0,26.99896
0.3399999,31.74496,0,26.99896
0.3599999,31.73033,0,26.99896
0.3799999,31.71574,0,26.99896
0.3999999,31.70119,0,26.99896
0.4199998,31.68669,0,26.99896
0.4399998,31.67222,0,26.99896
0.4599998,31.65779,0,26.99896
0.4799998,31.64341,0,26.99896
0.4999998,31.62906,0,26.99896
0.5199998,31.61476,0,26.99896
0.5399998,31.60049,0,26.99896
0.5599998,31.58626,0,26.99896
0.5799998,31.57207,0,26.99896
0.5999998,31.55793,0,26.99896
0.6199998,31.54382,0,26.99896
0.6399997,31.52975,0,26.99896
0.6599998,31.51572,0,26.99896
0.6799998,31.50173,0,26.99896
0.6999997,31.48778,0,26.99896
0.7199997,31.47387,0,26.99896
0.7399997,31.46,0,26.99896
0.7599998,31.44616,0,26.99896
0.7799997,31.43237,0,26.99896
0.7999997,31.41861,0,26.99896
0.8199997,31.40489,0,26.99896
0.8399997,31.39121,0,26.99896
0.8599997,31.37756,0,26.99896
0.8799997,31.36396,0,26.99896
0.8999997,31.35039,0,26.99896
0.9199997,31.33686,0,26.99896
0.9399996,31.32337,0,26.99896
0.9599997,31.30992,0,26.99896
0.9799997,31.2965,0,26.99896
0.9999996,31.28312,0,26.99896
1.02,31.26978,0,26.99896
1.04,31.25647,0,26.99896
1.06,31.24321,0,26.99896
1.08,31.22997,0,26.99896
1.1,31.21678,0,26.99896
1.12,31.20362,0,26.99896
1.14,31.1905,0,26.99896
1.16,31.17742,0,26.99896
1.18,31.16437,0,26.99896
1.2,31.15136,0,26.99896
1.22,31.13839,0,26.99896
1.24,31.12545,0,26.99896
1.26,31.11255,0,26.99896
1.279999,31.09968,0,26.99896
1.3,31.08685,0,26.99896
1.32,31.07405,0,26.99896
1.34,31.06129,0,26.99896
1.36,31.04857,0,26.99896
1.38,31.03588,0,26.99896
1.399999,31.02323,0,26.99896
1.419999,31.01061,0,26.99896
1.439999,30.99803,0,26.99896
1.459999,30.98548,0,26.99896
1.479999,30.97297,0,26.99896
1.5,30.96049,0,26.99896
1.52,30.94805,0,26.99896
1.539999,30.93564,0,26.99896
1.559999,30.92327,0,26.99896
1.579999,30.91093,0,26.99896
1.599999,30.89863,0,26.99896
1.619999,30.88636,0,26.99896
1.639999,30.87412,0,26.99896
1.659999,30.86192,0,26.99896
1.679999,30.84975,0,26.99896
1.699999,30.83762,0,26.99896
1.719999,30.82552,0,26.99896
1.739999,30.81345,0,26.99896
1.759999,30.80142,0,26.99896
1.779999,30.78942,0,26.99896
1.799999,30.77745,0,26.99896
1.819999,30.76552,0,26.99896
1.839999,30.75362,0,26.99896
1.859999,30.74175,0,26.99896
1.879999,30.72992,0,26.99896
1.899999,30.71812,0,26.99896
1.919999,30.70635,0,26.99896
1.939999,30.69462,0,26.99896
1.959999,30.68292,0,26.99896
1.979999,30.67125,0,26.99896
1.999999,30.65961,0,26.99896
2.019999,30.64801,0,26.99896
2.039999,30.63643,0,26.99896
2.059999,30.6249,0,26.99896
2.079999,30.61339,0,26.99896
2.099999,30.60191,0,26.99896
2.119999,30.59047,0,26.99896
2.139999,30.57906,0,26.99896
2.159999,30.56768,0,26.99896
2.179999,30.55633,0,26.99896
2.199999,30.54501,0,26.99896
2.219999,30.53373,0,26.99896
2.239999,30.52248,0,26.99896
2.259999,30.51125,0,26.99896
2.279999,30.50006,0,26.99896
2.299999,30.4889,0,26.99896
2.319999,30.47778,0,26.99896
2.339999,30.46668,0,26.99896
2.359999,30.45561,0,26.99896
2.379999,30.44458,0,26.99896
2.399999,30.43357,0,26.99896
2.419999,30.4226,0,26.99896
2.439999,30.41165,0,26.99896
2.459999,30.40074,0,26.99896
2.479999,30.38985,0,26.99896
2.499999,30.379,0,26.99896
2.519999,30.36818,0,26.99896
2.539999,30.35739,0,26.99896
2.559999,30.34663,0,26.99896
2.579999,30.33589,0,26.99896
2.599999,30.32519,0,26.99896
2.619999,30.31452,0,26.99896
2.639999,30.30388,0,26.99896
2.659999,30.29326,0,26.99896
2.679999,30.28268,0,26.99896
2.699999,30.27213,0,26.99896
2.719999,30.2616,0,26.99896
2.739999,30.25111,0,26.99896
2.759999,30.24064,0,26.99896
