Timestamp,Temperature, TemperatureDelta, MappedTemperature
0,32,0,0
0.01999999,32,0,0
0.03999998,32,0,0
0.05999998,32,0,0
0.07999997,32,0,0
0.09999996,32,0,0
0.12,32,0,0
0.14,32,0,0
0.1599999,32,0,0
0.1799999,32,0,0
0.1999999,32,0,0
0.2199999,32,0,0
0.2399999,32,0,0
0.2599999,32,0,0
0.2799999,32,0,0
0.2999999,32,0,0
0.3199999,32,0,0
0.3399999,32,0,0
0.3599999,32,0,0
0.3799999,32,0,0
0.3999999,32,0,0
0.4199998,32,0,0
0.4399998,32,0,0
0.4599998,32,0,0
0.4799998,32,0,0
0.4999998,32,0,0
0.5199998,32,0,0
0.5399998,32,0,0
0.5599998,32,0,0
0.5799998,32,0,0
0.5999998,32,0,0
0.6199998,32,0,0
0.6399997,32,0,0
0.6599998,32,0,0
0.6799998,32,0,0
0.6999997,32,0,0
0.7199997,32,0,0
0.7399997,32,0,0
0.7599998,32,0,0
0.7799997,32,0,0
0.7999997,32,0,0
0.8199997,32,0,0
0.8399997,32,0,0
0.8599997,32,0,0
0.8799997,32,0,0
0.8999997,32,0,0
0.9199997,32,0,0
0.9399996,32,0,0
0.9599997,32,0,0
0.9799997,32,0,0
0.9999996,32,0,0
1.02,32,0,0
1.04,32,0,0
1.06,32,0,0
1.08,32,0,0
1.1,32,0,0
1.12,32,0,0
1.14,32,0,0
1.16,32,0,0
1.18,32,0,0
1.2,32,0,0
1.22,32,0,0
1.24,32,0,0
1.26,32,0,0
1.279999,32,0,0
