Timestamp,Temperature, TemperatureDelta, MappedTemperature
2.759999,30.24064,-0.01046561,1.10154
2.779999,30.23021,-0.01043644,1.107662
2.799999,30.2198,-0.01040735,1.113762
2.819999,30.20942,-0.01037835,1.119839
2.839999,30.19907,-0.01034942,1.125893
2.859999,30.18875,-0.01032058,1.131926
2.879999,30.17846,-0.01029181,1.137936
2.899999,30.1682,-0.01026313,1.143925
2.919999,30.15796,-0.01023453,1.149891
2.939999,30.14775,-0.010206,1.155836
2.959999,30.13758,-0.01017756,1.161758
2.979999,30.12743,-0.01014919,1.16766
2.999999,30.11731,-0.01012091,1.17354
3.019999,30.10722,-0.0100927,1.179399
3.039999,30.09715,-0.01006457,1.185238
3.059999,30.08711,-0.01003652,1.191053
3.079999,30.07711,-0.01000855,1.19685
3.099999,30.06713,-0.009980652,1.202623
3.119999,30.05717,-0.009952834,1.208378
3.139999,30.04725,-0.009925095,1.214109
3.159999,30.03735,-0.009897433,1.219822
3.179999,30.02748,-0.009869848,1.225513
3.199999,30.01764,-0.009842341,1.231184
3.219999,30.00782,-0.00981491,1.236834
3.239999,29.99804,-0.009787555,1.242464
3.259999,29.98828,-0.009760276,1.248074
3.279999,29.97854,-0.009733074,1.253662
3.299999,29.96884,-0.009705947,1.259233
3.319999,29.95916,-0.009678896,1.264782
3.339999,29.9495,-0.00965192,1.270311
3.359999,29.93988,-0.00962502,1.275822
3.379999,29.93028,-0.009598195,1.281311
3.399999,29.92071,-0.009571444,1.286781
3.419999,29.91117,-0.009544767,1.292231
3.439999,29.90165,-0.009518166,1.297663
3.459999,29.89216,-0.009491638,1.303074
3.479999,29.88269,-0.009465185,1.308466
3.499999,29.87325,-0.009438806,1.313839
3.519999,29.86384,-0.009412499,1.319193
3.539999,29.85446,-0.009386266,1.324528
3.559999,29.8451,-0.009360106,1.329844
3.579999,29.83576,-0.009334018,1.33514
3.599999,29.82645,-0.009308005,1.340418
3.619999,29.81717,-0.009282062,1.345678
3.639999,29.80792,-0.009256193,1.350918
3.659999,29.79869,-0.009230396,1.35614
3.679999,29.78948,-0.00920467,1.361343
3.699999,29.7803,-0.009179016,1.366529
3.719999,29.77115,-0.009153433,1.371695
3.739999,29.76202,-0.009127922,1.376842
3.759999,29.75292,-0.009102482,1.381973
3.779999,29.74384,-0.009077113,1.387085
3.799999,29.73479,-0.009051816,1.392179
3.819999,29.72576,-0.009026587,1.397255
3.839999,29.71676,-0.009001428,1.402313
3.859999,29.70779,-0.008976341,1.407352
3.879999,29.69884,-0.008951324,1.412376
3.899999,29.68991,-0.008926376,1.417379
3.919999,29.68101,-0.008901498,1.422367
3.939999,29.67213,-0.008876689,1.427338
3.959999,29.66328,-0.008851949,1.432289
3.979999,29.65445,-0.008827278,1.437223
3.999999,29.64565,-0.008802676,1.442141
4.019999,29.63687,-0.008778143,1.447041
4.039999,29.62812,-0.008753677,1.451923
4.059999,29.61939,-0.008729281,1.456789
4.079998,29.61068,-0.008704951,1.461637
4.099998,29.602,-0.00868069,1.466469
4.119998,29.59335,-0.008656496,1.471285
4.139998,29.58471,-0.00863237,1.476082
4.159998,29.57611,-0.008608311,1.480864
4.179998,29.56752,-0.00858432,1.485628
4.199998,29.55896,-0.008560394,1.490376
4.219998,29.55042,-0.008536535,1.495108
4.239998,29.54191,-0.008512744,1.499823
4.259998,29.53342,-0.008489017,1.50452
4.279998,29.52496,-0.008465358,1.509203
4.299998,29.51652,-0.008441765,1.513868
4.319998,29.5081,-0.008418237,1.518518
4.339998,29.4997,-0.008394775,1.523151
4.359998,29.49133,-0.008371378,1.527769
4.379999,29.48298,-0.008348047,1.532372
4.399999,29.47466,-0.00832478,1.536957
4.419999,29.46636,-0.008301578,1.541525
4.439999,29.45808,-0.008278442,1.54608
4.459999,29.44982,-0.008255369,1.550617
4.479999,29.44159,-0.008232362,1.55514
4.499999,29.43338,-0.008209417,1.559647
4.519999,29.4252,-0.008186537,1.564137
4.539999,29.41703,-0.00816372,1.568613
4.559999,29.40889,-0.008140968,1.573072
4.579998,29.40077,-0.008118279,1.577517
4.599998,29.39268,-0.008095653,1.581947
4.619998,29.38461,-0.00807309,1.586361
4.639998,29.37655,-0.00805059,1.590759
4.659998,29.36853,-0.008028152,1.595144
4.679998,29.36052,-0.008005777,1.599512
4.699998,29.35254,-0.007983465,1.603867
4.719998,29.34458,-0.007961215,1.608206
4.739998,29.33664,-0.007939025,1.61253
4.759998,29.32872,-0.007916898,1.616838
4.779998,29.32083,-0.007894834,1.621132
4.799998,29.31295,-0.00787283,1.625412
4.819998,29.3051,-0.007850888,1.629677
4.839998,29.29727,-0.007829008,1.633926
4.859998,29.28946,-0.007807187,1.638163
4.879998,29.28168,-0.007785429,1.642384
4.899998,29.27392,-0.007763729,1.646591
4.919998,29.26617,-0.007742092,1.650784
4.939998,29.25845,-0.007720514,1.654963
4.959998,29.25076,-0.007698996,1.659126
4.979998,29.24308,-0.00767754,1.663277
4.999998,29.23542,-0.007656142,1.667412
5.019998,29.22779,-0.007634804,1.671534
5.039998,29.22017,-0.007613525,1.67564
5.059998,29.21258,-0.007592306,1.679733
5.079998,29.20501,-0.007571144,1.683813
5.099998,29.19746,-0.007550044,1.68788
5.119998,29.18993,-0.007529002,1.691931
5.139998,29.18242,-0.007508018,1.695971
5.159998,29.17494,-0.007487094,1.699995
5.179998,29.16747,-0.007466227,1.704004
5.199998,29.16003,-0.007445419,1.708002
5.219998,29.1526,-0.007424667,1.711987
5.239998,29.1452,-0.007403974,1.715956
5.259998,29.13781,-0.007383339,1.719913
5.279998,29.13045,-0.007362761,1.723858
5.299998,29.12311,-0.00734224,1.727787
5.319998,29.11579,-0.007321778,1.731705
5.339998,29.10849,-0.007301372,1.735607
5.359998,29.10121,-0.007281023,1.739498
5.379998,29.09394,-0.00726073,1.743376
5.399998,29.0867,-0.007240494,1.74724
5.419998,29.07948,-0.007220314,1.751091
5.439998,29.07228,-0.00720019,1.75493
5.459998,29.0651,-0.007180123,1.758755
5.479998,29.05794,-0.007160112,1.762568
5.499998,29.0508,-0.007140156,1.766367
5.519998,29.04368,-0.007120257,1.770155
5.539998,29.03658,-0.007100413,1.77393
5.559998,29.0295,-0.007080623,1.777691
5.579998,29.02244,-0.007060888,1.781441
5.599998,29.0154,-0.007041209,1.785175
5.619998,29.00838,-0.007021585,1.7889
5.639998,29.00138,-0.007002016,1.792612
5.659998,28.99439,-0.006982501,1.79631
5.679998,28.98743,-0.006963039,1.799997
5.699998,28.98049,-0.006943633,1.803673
5.719998,28.97356,-0.006924281,1.807333
5.739998,28.96666,-0.006904983,1.810984
5.759998,28.95977,-0.006885739,1.814621
5.779998,28.95291,-0.006866548,1.818247
5.799998,28.94606,-0.006847411,1.821859
5.819998,28.93923,-0.006828326,1.825462
5.839998,28.93242,-0.006809295,1.829052
5.859998,28.92563,-0.006790317,1.832628
5.879998,28.91886,-0.006771393,1.836195
5.899998,28.91211,-0.00675252,1.839748
5.919998,28.90538,-0.006733701,1.84329
5.939998,28.89866,-0.006714934,1.846821
5.959998,28.89196,-0.006696219,1.850338
5.979998,28.88529,-0.006677555,1.853846
5.999998,28.87863,-0.006658945,1.85734
6.019998,28.87199,-0.006640386,1.860825
6.039998,28.86537,-0.00662188,1.864296
6.059998,28.85876,-0.006603424,1.867756
6.079998,28.85218,-0.00658502,1.871204
6.099998,28.84561,-0.006566667,1.874643
6.119998,28.83906,-0.006548365,1.878069
6.139998,28.83253,-0.006530115,1.881483
6.159998,28.82602,-0.006511915,1.884888
6.179998,28.81953,-0.006493766,1.888279
6.199998,28.81305,-0.006475667,1.891661
6.219998,28.80659,-0.006457619,1.895031
6.239998,28.80015,-0.006439621,1.89839
6.259998,28.79373,-0.006421673,1.901737
6.279998,28.78733,-0.006403775,1.905075
6.299998,28.78094,-0.006385928,1.9084
6.319998,28.77457,-0.00636813,1.911715
6.339998,28.76822,-0.006350382,1.915018
6.359998,28.76189,-0.006332683,1.918312
6.379998,28.75558,-0.006315034,1.921595
6.399998,28.74928,-0.006297434,1.924866
6.419998,28.743,-0.006279882,1.928125
6.439998,28.73674,-0.00626238,1.931376
6.459998,28.73049,-0.006244927,1.934614
6.479998,28.72427,-0.006227522,1.937843
6.499998,28.71806,-0.006210165,1.941061
6.519998,28.71186,-0.006192857,1.944269
6.539998,28.70569,-0.006175597,1.947466
6.559998,28.69953,-0.006158385,1.950653
6.579998,28.69339,-0.006141221,1.953829
6.599998,28.68726,-0.006124104,1.956995
6.619998,28.68115,-0.006107036,1.96015
6.639997,28.67506,-0.006090015,1.963295
6.659997,28.66899,-0.006073042,1.966431
6.679997,28.66294,-0.006056115,1.969555
6.699997,28.6569,-0.006039237,1.97267
6.719997,28.65088,-0.006022405,1.975773
6.739997,28.64487,-0.006005621,1.978867
6.759997,28.63888,-0.005988882,1.981951
6.779998,28.63291,-0.005972191,1.985025
6.799998,28.62695,-0.005955547,1.988089
6.819998,28.62101,-0.005938949,1.991142
6.839998,28.61509,-0.005922397,1.994186
6.859998,28.60919,-0.00590589,1.997221
6.879998,28.6033,-0.005889431,2.000246
6.899998,28.59742,-0.005873017,2.00326
6.919998,28.59157,-0.005856649,2.006264
6.939998,28.58573,-0.005840325,2.009258
6.959998,28.5799,-0.005824048,2.012245
6.979998,28.57409,-0.005807816,2.015221
6.999998,28.5683,-0.00579163,2.018185
7.019998,28.56253,-0.005775488,2.021141
7.039998,28.55677,-0.005759391,2.024088
7.059998,28.55103,-0.00574334,2.027025
7.079998,28.5453,-0.005727332,2.029953
7.099998,28.53959,-0.00571137,2.032871
7.119998,28.53389,-0.005695452,2.03578
7.139997,28.52821,-0.005679579,2.038679
7.159997,28.52255,-0.005663749,2.041569
7.179997,28.5169,-0.005647964,2.044449
7.199997,28.51127,-0.005632223,2.047319
7.219997,28.50565,-0.005616526,2.050182
7.239997,28.50005,-0.005600872,2.053036
7.259997,28.49447,-0.005585263,2.055878
7.279997,28.4889,-0.005569696,2.058712
7.299997,28.48334,-0.005554173,2.061539
7.319997,28.4778,-0.005538694,2.064354
7.339997,28.47228,-0.005523257,2.067162
7.359997,28.46677,-0.005507864,2.06996
7.379997,28.46128,-0.005492513,2.072748
7.399997,28.4558,-0.005477204,2.075527
7.419997,28.45034,-0.005461939,2.078299
7.439997,28.44489,-0.005446715,2.081062
7.459997,28.43946,-0.005431535,2.083815
7.479997,28.43404,-0.005416396,2.086559
7.499997,28.42864,-0.0054013,2.089294
7.519997,28.42325,-0.005386246,2.092022
7.539997,28.41788,-0.005371235,2.09474
7.559998,28.41253,-0.005356264,2.09745
7.579998,28.40719,-0.005341336,2.100151
7.599998,28.40186,-0.00532645,2.102842
7.619998,28.39655,-0.005311604,2.105526
7.639997,28.39125,-0.0052968,2.1082
7.659997,28.38597,-0.005282037,2.110867
7.679997,28.3807,-0.005267317,2.113525
7.699997,28.37545,-0.005252637,2.116175
7.719997,28.37021,-0.005237997,2.118814
7.739997,28.36499,-0.005223399,2.121447
7.759997,28.35978,-0.005208841,2.124071
7.779997,28.35458,-0.005194323,2.126686
7.799997,28.3494,-0.005179847,2.129293
7.819997,28.34424,-0.005165409,2.131893
7.839997,28.33909,-0.005151013,2.134483
7.859997,28.33395,-0.005136657,2.137066
7.879997,28.32883,-0.00512234,2.139641
7.899997,28.32372,-0.005108064,2.142206
7.919997,28.31862,-0.005093827,2.144764
7.939997,28.31355,-0.005079631,2.147314
7.959997,28.30848,-0.005065473,2.149855
7.979997,28.30343,-0.005051355,2.15239
7.999997,28.29839,-0.005037277,2.154913
8.019998,28.29337,-0.005023238,2.157431
8.039997,28.28836,-0.005009238,2.159941
8.059998,28.28336,-0.004995277,2.162441
8.079997,28.27838,-0.004981354,2.164936
8.099998,28.27341,-0.00496747,2.167421
8.119997,28.26846,-0.004953626,2.169899
8.139997,28.26352,-0.004939819,2.172369
8.159997,28.25859,-0.004926051,2.174831
8.179997,28.25368,-0.004912322,2.177284
8.199997,28.24879,-0.004898631,2.179731
8.219997,28.2439,-0.004884979,2.182169
8.239997,28.23903,-0.004871364,2.184601
8.259997,28.23417,-0.004857788,2.187023
8.279997,28.22933,-0.004844248,2.18944
8.299997,28.22449,-0.004830746,2.191847
8.319997,28.21968,-0.004817283,2.194248
8.339997,28.21487,-0.004803857,2.19664
