Timestamp,Temperature
0,26.78
0.01999999,26.78
0.2033457,26.76
0.3626225,26.76
0.5030503,26.71
0.6230619,26.88
0.7236431,26.86
0.8143254,26.81
0.8850791,26.78
0.9554698,26.81
1.022732,26.68
1.093235,26.91
1.148512,26.81
1.20317,26.91
1.266129,26.91
1.326632,26.78
1.384005,27.01
1.477141,26.76
1.552715,26.96
1.624436,26.91
1.693084,26.91
1.756552,26.91
1.812877,26.88
1.867108,26.81
1.923324,26.76
1.988467,26.91
2.04182,26.81
2.095038,26.81
2.134419,27.04
2.18067,27.04
2.231106,27.04
2.267673,26.93
2.304929,26.93
2.343146,26.88
2.391011,26.96
2.435023,26.96
2.474901,27.01
2.523268,26.96
2.58484,26.88
2.643332,26.99
2.696489,26.99
2.734191,26.93
2.773811,26.96
2.810987,26.93
2.854071,26.99
2.892549,27.01
2.932074,26.91
2.970878,27.09
3.01123,26.93
3.062486,27.01
3.112432,27.04
3.151284,27.01
3.188407,27.04
3.227926,26.96
3.27462,27.04
3.314265,26.99
3.354116,27.04
3.391162,27.04
3.428254,26.96
3.479689,27.01
3.521127,27.04
3.572988,26.96
3.611786,27.04
3.649046,26.99
3.688904,27.16
3.726489,27.04
3.763641,27.01
3.800838,27.04
3.838389,26.99
3.862095,27.04
3.905868,27.16
3.944706,27.04
3.98231,27.04
4.025421,27.11
4.063939,27.04
4.107305,27.06
4.144226,27.29
4.180475,27.04
4.216522,26.81
4.241315,27.06
4.278534,27.04
4.307569,27.06
4.348502,27.04
4.388958,26.99
4.425099,26.88
4.461684,27.04
4.498702,27.04
4.528576,27.29
4.565011,27.21
4.601198,27.14
4.639282,27.01
4.664495,27.11
4.704545,27.06
4.749177,27.09
4.785203,27.11
4.821714,27.04
4.857385,27.06
4.884456,27.04
4.921462,27.04
4.962296,27.04
4.997642,26.88
5.019337,27.06
5.043114,26.99
5.079151,26.99
5.101636,27.04
5.137363,27.11
5.163074,27.04
5.199078,27.06
5.223515,27.09
5.260119,27.04
5.29607,27.09
5.319151,26.99
5.343025,27.16
5.383608,27.11
5.419678,27.11
5.442906,27.29
5.478858,27.06
5.500963,27.09
5.537066,27.11
5.559332,27.06
5.587465,27.06
5.626148,27.16
5.6654,27.06
5.701685,27.27
5.739805,27.06
5.763992,27.09
5.806075,27.16
5.842737,27.16
5.881903,27.04
5.920635,27.06
5.956935,27.11
5.981335,27.09
6.025068,27.06
6.063913,27.55
6.10225,27.09
6.139802,27.06
6.16246,27.01
6.197958,27.19
6.23164,27.16
6.26965,27.06
6.306254,27.16
6.346458,27.29
6.382368,27.14
6.419448,27.19
6.447822,27.09
6.484452,27.16
6.521447,27.16
6.557094,27.11
6.578764,26.86
6.600516,27.14
6.637074,27.09
6.662956,27.19
6.700495,27.16
6.737644,27.11
6.760254,27.29
6.797442,27.16
6.820542,27.16
6.856258,27.32
6.88422,27.06
6.920722,27.27
6.956299,27.11
6.979848,27.16
7.003131,27.16
7.04021,27.06
7.076837,27.52
7.105917,27.27
7.142831,27.09
7.179349,27.27
7.201147,27.11
7.238008,27.16
7.261991,27.19
7.298372,27.37
7.325314,27.19
7.363103,27.04
7.402531,27.16
7.438635,27.19
7.461956,27.19
7.497735,27.04
7.519414,27.27
7.546358,27.04
7.582734,27.27
7.619121,27.50
7.641674,27.21
7.677693,27.19
7.702359,27.29
7.738466,27.16
7.767383,27.14
7.802462,27.29
7.838023,27.37
7.860751,27.11
7.896737,27.14
7.922173,27.27
7.95916,27.27
7.988311,27.16
8.02533,27.34
8.062502,27.24
8.099081,27.47
8.121776,27.32
8.160019,27.16
8.207652,27.29
8.246341,27.21
8.285767,27.27
8.322922,27.04
8.359939,27.37
8.383969,27.19
8.425342,27.34
8.463657,27.32
