Timestamp,Temperature, TemperatureDelta, MappedTemperature
0,32,0,26.99896
0.01999999,31.98466,0,26.99896
0.03999998,31.96936,0,26.99896
0.05999998,31.95411,0,26.99896
0.07999997,31.9389,0,26.99896
0.09999996,31.92373,0,26.99896
0.12,31.9086,0,26.99896
0.14,31.89351,0,26.99896
0.1599999,31.87847,0,26.99896
0.1799999,31.86347,0,26.99896
0.1999999,31.84851,0,26.99896
0.2199999,31.83359,0,26.99896
0.2399999,31.81872,0,26.99896
0.2599999,31.80388,0,26.99896
0.2799999,31.78909,0,26.99896
0.2999999,31.77434,0,26.99896
0.3199999,31.75963,0,26.99896
0.3399999,31.74496,0,26.99896
