Timestamp,Temperature
0,17.61
0.01999999,17.59
0.1051553,17.48
0.1721457,17.40
0.2119817,17.79
0.2332335,17.66
0.2462811,17.70
0.2592154,17.61
0.2634373,17.66
0.2737963,17.64
0.2787022,17.70
0.2839643,17.64
0.2895356,17.68
0.2940447,17.72
0.2980588,17.66
0.3027916,17.74
0.3083004,17.70
0.3191097,17.79
0.3240002,17.68
0.3302263,17.74
0.3361558,17.70
0.3404408,17.74
0.3462818,17.68
0.3515633,17.74
0.3561269,17.68
0.3603453,17.74
0.3665866,17.79
0.3711087,18.03
0.3753602,17.79
0.3796334,17.72
0.3844754,17.79
0.389786,17.88
0.3949527,17.81
0.3996067,17.74
0.4036547,17.74
0.4097777,17.79
0.4139408,17.81
0.4178107,17.83
0.4227259,17.68
0.4281131,17.74
0.4328593,17.88
0.4370403,17.85
0.4413573,17.83
0.4465029,18.03
0.4513517,17.79
0.4559988,17.88
0.4603259,17.90
0.465941,17.83
0.4700487,17.88
0.474938,17.90
0.4795328,17.96
0.4836882,17.92
0.4911662,18.03
0.4965958,17.94
0.5021645,17.90
0.5087759,17.94
0.5187614,17.83
0.5236176,17.77
0.529748,17.94
0.5345563,17.98
0.5393646,17.92
0.5436877,17.92
0.5493999,18.12
0.5541406,18.03
0.5584059,17.74
0.5630901,18.03
0.5683385,18.03
0.5730119,17.98
0.5773285,18.03
0.5817495,18.03
0.5866772,18.01
0.5911174,18.03
0.5957655,18.01
0.600983,18.07
0.606686,18.20
0.6113303,18.05
0.6156973,17.98
0.6203634,18.03
0.6266671,18.14
0.6318685,17.96
0.6364413,18.03
0.640535,18.16
0.6461027,18.07
0.6504434,18.05
0.6546535,17.96
0.6592871,18.09
0.6636246,18.05
0.6689889,18.23
0.6742446,18.23
0.6785857,18.14
0.6825001,18.09
0.6877081,18.16
0.6928181,18.07
0.6967654,18.27
0.7007111,18.25
0.7067643,18.16
0.7115515,18.07
0.7221674,18.09
0.7274135,18.09
0.7313746,18.27
0.7364765,18.16
0.7405958,18.23
0.745788,18.36
0.7505997,18.25
0.7551879,18.29
0.7594376,18.25
0.7639802,18.14
0.7703713,18.01
0.774698,18.23
0.7791622,18.14
0.7838481,18.16
0.7890868,18.23
0.7928605,18.23
0.7977513,18.27
0.8030189,18.40
0.8080992,18.25
0.8125364,18.31
0.8165567,18.31
0.820723,18.27
0.8265037,18.36
0.831438,18.34
0.8355788,18.16
0.8395852,18.16
0.8447815,18.38
0.8498921,18.34
0.8543199,18.34
0.8587903,18.14
0.8632654,18.25
0.8687982,18.49
0.8748026,18.45
0.8794476,18.49
0.8850741,18.42
0.8911103,18.36
0.8952257,18.36
0.8995204,18.42
0.9042779,18.40
0.9094278,18.23
0.9137124,18.38
0.9241427,18.34
0.9300016,18.42
0.9347576,18.40
0.9395325,18.42
0.9437593,18.36
0.949342,18.45
0.9536171,18.45
0.957942,18.38
0.9619497,18.45
0.9681552,18.45
0.9728058,18.53
0.9768919,18.25
0.9816181,18.45
0.9871896,18.31
0.9920024,18.45
0.9969109,18.45
1.001532,18.45
1.006627,18.58
1.011173,18.58
1.015678,18.45
1.020341,18.49
1.025892,18.51
1.030585,18.42
1.034846,18.49
1.039172,18.51
1.044121,18.62
1.049783,18.58
1.053973,18.53
1.058647,18.51
1.062792,18.58
1.068054,18.53
1.072477,18.45
1.076617,18.53
1.080896,18.42
1.086559,18.67
1.09203,18.67
1.09628,18.53
1.1007,18.60
1.106684,18.60
1.111401,18.64
1.116038,18.60
1.127601,18.69
1.132962,18.67
1.137659,18.62
1.142889,18.69
1.14868,18.51
1.153752,18.67
1.158203,18.60
1.162972,18.73
1.168032,18.67
1.172693,18.73
1.177074,18.71
1.181546,18.73
1.187217,18.73
1.191418,18.71
1.195751,18.69
1.200253,18.69
1.205383,18.73
1.209816,18.71
1.214616,18.73
1.218929,18.71
1.223275,18.82
1.2289,18.75
1.233344,18.75
1.238108,18.73
1.242297,18.71
1.248874,18.73
1.254093,18.78
1.259671,18.73
1.264765,18.40
1.270426,18.73
1.274952,18.73
1.279199,18.73
1.283425,18.71
1.28968,18.73
1.294222,18.75
1.298433,18.78
1.302776,18.78
1.308434,18.71
1.312839,18.64
1.317523,18.84
1.326816,18.73
1.332574,18.89
1.338029,18.78
1.342196,18.78
1.347041,18.75
1.351397,18.80
1.356211,18.75
1.36072,18.78
1.366713,18.78
1.37136,18.89
1.375425,18.84
1.379807,18.84
1.384793,18.84
1.390238,18.84
1.394581,18.80
1.398594,18.86
1.403909,18.73
1.409574,18.80
1.414962,18.86
1.419544,18.93
1.424137,18.80
1.429731,18.84
1.434096,18.86
1.43825,18.93
1.442977,18.86
1.448837,18.98
1.454347,18.80
1.459502,18.93
1.464532,18.93
1.469882,18.84
1.475617,18.80
1.481534,18.93
1.488675,18.86
1.493989,18.93
1.499591,18.89
1.505154,18.98
1.511824,18.89
1.516302,19.02
1.521758,19.06
1.534351,18.78
1.538886,19.02
1.543258,18.98
1.54852,19.13
1.553467,19.02
1.557842,19.09
1.562168,18.93
1.568573,19.11
1.573242,19.04
1.577802,19.04
1.582437,19.02
1.587803,19.02
1.592291,19.04
1.598279,19.02
1.603199,19.11
1.608853,18.95
1.613931,19.04
1.619068,19.02
1.623224,19.02
1.628583,19.04
1.633649,19.24
1.639082,19.06
1.644558,19.06
1.649874,19.13
1.653977,19.04
1.658893,19.18
1.663554,19.02
1.66916,19.04
1.673167,19.13
1.67759,19.11
1.682182,19.06
1.687479,19.11
1.692351,19.09
1.696584,19.20
1.700938,19.13
1.706625,19.20
1.711297,19.20
1.715243,18.95
1.719819,19.22
1.724368,19.13
1.735386,19.09
1.739787,19.15
1.744512,19.15
1.750806,19.11
1.755745,19.20
1.760582,19.15
1.766113,19.13
1.771257,19.13
1.775565,19.24
1.780294,19.15
1.786302,19.15
1.79085,19.20
1.79486,19.15
1.799117,19.31
1.804373,19.29
1.810821,19.24
1.81523,19.22
1.819993,19.24
1.824291,19.22
1.829925,19.22
1.836562,19.31
1.842257,19.24
1.848693,19.29
1.853934,19.22
1.858198,19.22
1.862972,19.29
1.868851,19.33
1.872626,19.33
1.877006,19.22
1.881367,19.33
1.887077,19.29
1.891432,19.44
1.896018,19.38
1.901037,19.38
1.906362,19.38
1.911014,19.33
1.915042,19.29
1.919431,19.55
1.923817,19.33
1.929321,19.44
1.939155,19.42
1.943475,19.33
1.9487,19.44
1.960627,19.24
1.981839,19.40
2.000286,19.38
2.029908,19.42
2.0432,19.42
2.06176,19.42
2.080721,19.44
2.110532,19.31
2.133275,19.44
2.144624,19.38
2.160753,19.44
2.181911,19.42
2.200557,19.13
2.220394,19.38
2.24353,19.42
2.261001,19.15
2.281173,19.44
2.309973,19.38
2.323734,19.47
2.345789,19.29
2.360523,19.44
2.383919,19.58
2.401331,19.47
2.420602,19.51
2.441221,19.44
2.460407,19.44
2.481524,19.40
2.501083,19.44
2.52405,19.44
2.546964,19.47
2.561902,19.44
2.583853,19.47
2.602648,19.49
2.620934,19.47
2.650857,19.44
2.6606,19.42
2.683315,19.55
2.701433,19.44
2.723747,19.55
2.750217,19.44
2.7626,19.49
2.784587,19.78
2.800963,19.47
2.830591,19.51
2.842894,19.51
2.861643,19.51
2.884667,19.53
2.901797,19.58
2.920569,19.67
2.950213,19.64
2.960863,19.49
2.990543,19.42
3.015398,19.76
3.020637,19.49
3.052073,19.51
3.060879,19.47
3.081081,19.51
3.103696,19.44
3.125328,19.58
3.150715,19.71
3.163756,19.44
3.183737,19.71
3.200386,19.60
3.220592,19.55
3.243482,19.58
3.262315,19.58
3.281151,19.60
3.314904,19.64
3.32351,19.47
3.343127,19.47
3.36209,19.60
3.381597,19.60
3.401787,19.58
3.422409,19.64
3.441422,19.64
3.462132,19.64
3.481946,19.60
3.501879,19.55
3.523935,19.60
3.540375,19.60
3.565704,19.73
3.581323,19.67
3.60454,19.58
3.621846,19.69
3.642913,19.69
3.664467,19.73
3.681111,19.55
3.700807,19.76
3.721144,19.78
3.74326,19.67
3.767051,19.69
3.783439,19.91
3.8034,19.64
3.826698,19.78
3.842753,19.69
3.865153,19.91
3.88382,19.80
3.904564,19.82
3.923081,19.73
3.9532,19.78
3.969781,19.73
3.980006,19.60
4.002891,19.67
4.022828,19.78
4.041172,19.73
4.062122,19.47
4.084895,19.78
4.102842,19.78
4.121204,19.85
4.144514,19.78
4.162853,19.73
4.184143,19.78
4.206243,19.69
4.221124,19.71
4.241341,19.60
4.260944,19.85
4.283055,19.91
4.302634,19.80
4.333384,19.80
4.354794,19.87
4.36464,19.91
4.383292,19.80
4.402013,19.85
4.425077,19.85
4.44152,19.87
4.462966,19.82
4.485147,19.76
4.500959,20.03
4.521171,19.80
4.540475,19.60
4.561583,19.82
4.587479,19.82
4.608357,19.80
4.624526,19.82
4.64147,19.91
4.661881,19.85
4.683921,19.94
4.702762,19.91
4.720736,19.87
4.743123,19.89
4.762607,19.76
4.781861,19.85
4.801259,19.87
4.821667,19.87
4.842269,19.91
4.862761,20.14
4.884654,20.00
4.901485,19.87
4.923899,20.05
4.942506,20.09
4.96593,20.12
4.981674,19.87
5.006086,19.89
5.020685,19.91
5.041221,20.00
5.061018,19.76
5.091966,20.03
5.102426,20.03
5.122869,19.82
5.144169,19.96
5.163045,19.94
5.181834,20.05
5.209499,19.82
5.220731,19.87
5.241763,19.96
5.26168,20.12
5.284203,20.09
5.301486,20.14
5.322333,20.05
5.342426,20.00
5.364452,20.00
5.381771,20.05
5.406859,20.12
5.420793,19.94
5.444577,19.96
5.460611,19.96
5.48105,20.05
5.504298,20.05
5.521133,19.89
5.540428,20.05
5.562922,19.94
5.580565,20.05
5.608033,20.16
5.622878,20.18
5.641012,20.18
5.664665,19.94
5.683428,20.00
5.70609,19.94
5.721683,20.00
5.741285,20.14
5.762494,20.09
5.78165,20.00
5.801244,20.05
5.820804,19.85
5.843301,20.05
5.862916,20.16
5.88468,20.00
5.902634,20.09
5.921781,20.14
5.940851,20.21
5.961343,20.03
5.98208,20.14
6.001578,20.12
6.022983,20.16
6.043014,20.03
6.075948,20.16
6.081178,20.16
6.103023,20.05
6.121808,20.00
6.154998,20.16
6.165175,20.16
6.181172,20.12
6.201778,20.05
6.223844,20.12
6.240119,20.18
6.262805,20.18
6.282695,20.21
6.305133,20.18
6.32059,20.16
6.342105,20.16
6.366314,20.16
6.381167,20.16
6.401896,20.32
6.422379,20.16
6.443251,20.16
6.460708,20.00
6.48131,20.39
6.515283,20.16
6.53643,20.16
6.540933,20.16
6.563301,20.16
6.58539,20.16
6.602451,20.16
6.621476,20.27
6.640471,20.09
6.661675,20.16
6.682734,20.16
6.702274,20.23
6.722233,20.18
6.741369,20.25
6.769629,20.27
6.783725,20.39
6.804436,20.27
6.821834,20.16
6.842756,20.32
6.861474,20.21
6.882308,20.18
6.903284,20.16
6.924853,20.21
6.943477,20.27
6.961301,20.16
6.983875,20.27
7.002152,20.36
7.026336,20.21
7.041313,20.23
7.062544,20.23
7.084608,20.16
7.100629,20.14
7.122911,20.23
7.141243,20.21
7.161849,20.30
7.183465,20.30
7.201606,20.27
7.226911,20.27
7.253252,20.27
7.261919,20.32
7.280534,20.32
7.303529,20.27
7.321299,20.21
7.341175,20.32
7.361269,20.21
7.381274,20.30
7.412434,20.23
7.433249,20.32
7.442748,20.09
7.461177,20.39
7.480018,20.23
7.503386,20.45
7.524336,20.30
7.542854,20.36
7.560853,20.36
7.581799,20.27
7.603377,20.41
7.622516,20.32
7.641444,20.27
7.663871,20.45
7.681045,20.50
7.714756,20.25
7.724088,20.41
7.74306,20.32
7.763903,20.54
7.78127,20.39
7.805504,20.36
7.823356,20.30
7.842509,20.39
7.862834,20.36
7.884506,20.48
7.901496,20.23
7.922593,20.36
7.943029,20.32
7.961214,20.30
7.982951,20.36
8.00295,20.27
8.024132,20.36
8.052679,20.41
8.068772,20.59
8.083086,20.36
8.104052,20.50
8.120676,20.45
8.153192,20.50
8.160664,20.52
8.186508,20.43
8.203614,20.36
8.233361,20.48
8.241206,20.36
8.26267,20.50
8.285789,20.54
8.303204,20.54
8.324548,20.52
8.341067,20.41
8.373886,20.52
8.382205,20.50
8.40236,20.77
8.437826,20.59
8.44293,20.48
8.468939,20.54
8.489203,20.50
8.501533,20.52
8.52287,20.45
8.543629,20.52
8.57444,20.39
8.583775,20.52
8.600987,20.59
8.621908,20.52
8.64484,20.50
8.673793,20.61
8.682755,20.52
8.701338,20.50
8.732124,20.54
8.740773,20.54
8.762458,20.57
8.783635,20.77
8.803325,20.48
8.82345,20.50
8.846045,20.50
8.872991,20.57
8.881123,20.64
8.902894,20.64
8.924497,20.57
8.942019,20.52
8.964165,20.52
8.995486,20.57
9.001504,20.59
9.024478,20.50
9.044268,20.54
9.064076,20.66
9.084505,20.54
9.104051,20.64
9.124057,20.52
9.143326,20.59
9.163577,20.61
9.183928,20.52
9.213299,20.64
9.221242,20.59
9.253092,20.54
9.261793,20.89
9.293736,20.64
9.301383,20.84
9.323231,20.75
9.351967,20.54
9.368432,20.54
9.391842,20.64
9.402696,20.57
9.423544,20.61
9.440681,20.86
9.462123,20.61
9.483309,20.64
9.502535,20.73
9.522645,20.66
9.540764,20.68
9.563951,20.59
9.580766,20.57
9.603532,20.73
9.622484,20.73
9.641582,20.79
9.663447,20.75
9.684708,20.77
9.701769,20.64
9.724028,20.75
9.743196,20.64
9.763144,20.59
9.79377,20.77
9.801885,20.77
9.822986,20.59
9.840801,20.82
9.863435,20.73
9.893487,20.75
9.90164,20.77
9.921023,20.75
9.954523,20.77
9.962917,20.68
9.982175,20.66
10.00369,20.82
10.02221,20.73
10.04216,20.66
10.06618,20.84
10.08299,20.77
10.10399,20.84
10.12038,20.75
10.14246,20.75
10.16257,20.84
10.18248,20.84
10.20406,20.75
10.22091,20.73
10.24941,20.73
10.26664,20.84
10.28357,21.00
10.30047,20.64
10.32161,20.68
10.34382,20.77
10.36297,20.89
10.38238,20.86
10.40442,20.59
10.42377,20.79
10.44375,20.75
10.46136,20.84
10.48231,20.75
10.50103,20.79
10.52107,20.79
10.54067,20.89
10.5641,20.82
10.5841,21.09
10.60305,20.89
10.63243,20.73
10.64131,20.86
10.66248,20.86
10.68193,20.89
10.70405,20.91
10.72164,20.89
10.75405,20.75
10.76336,20.86
10.78411,21.00
